(0, 57, 1)
(1, 77, 0)
(1, 77, 2)
(2, 6, 1)
(2, 56, 3)
(3, 80, 2)
(3, 99, 4)
(4, 10, 3)
(4, 59, 5)
(5, 55, 4)
(5, 77, 6)
(6, 79, 5)
(6, 71, 7)
(7, 40, 6)
(7, 74, 8)
(8, 44, 7)
(8, 28, 9)
(9, 18, 8)
(9, 66, 10)
(10, 80, 9)
(10, 46, 11)
(11, 13, 10)
(11, 49, 12)
(12, 62, 11)
(12, 18, 13)
(13, 70, 12)
(13, 31, 14)
(14, 44, 13)
(14, 18, 15)
(15, 91, 14)
(15, 78, 16)
(16, 78, 15)
(16, 82, 17)
(17, 50, 16)
(17, 64, 18)
(18, 90, 17)
(18, 83, 19)
(19, 63, 18)
(19, 45, 20)
(20, 91, 19)
(20, 4, 21)
(21, 8, 20)
(21, 38, 22)
(22, 22, 21)
(22, 41, 23)
(23, 10, 22)
(23, 85, 24)
(24, 93, 23)
(24, 86, 25)
(25, 76, 24)
(25, 82, 26)
(26, 31, 25)
(26, 98, 27)
(27, 3, 26)
(27, 83, 28)
(28, 82, 27)
(28, 57, 29)
(29, 68, 28)
(29, 43, 30)
(30, 30, 29)
(30, 64, 31)
(31, 71, 30)
(31, 17, 32)
(32, 85, 31)
(32, 82, 33)
(33, 93, 32)
(33, 4, 34)
(34, 73, 33)
(34, 39, 35)
(35, 83, 34)
(35, 51, 36)
(36, 54, 35)
(36, 79, 37)
(37, 88, 36)
(37, 4, 38)
(38, 95, 37)
(38, 39, 39)
(39, 54, 38)
(39, 33, 40)
(40, 57, 39)
(40, 27, 41)
(41, 4, 40)
(41, 36, 42)
(42, 32, 41)
(42, 7, 43)
(43, 51, 42)
(43, 43, 44)
(44, 58, 43)
(44, 16, 45)
(45, 60, 44)
(45, 44, 46)
(46, 48, 45)
(46, 6, 47)
(47, 56, 46)
(47, 73, 48)
(48, 41, 47)
(48, 41, 49)
(49, 92, 48)
(49, 58, 50)
(50, 23, 49)
(50, 50, 51)
(51, 67, 50)
(51, 70, 52)
